epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,4730.93,1.01217,0.69778,1.01742,0.88462,0.66981,0.74827,0.47569,1.08586,0.69346,1.01021,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,4878.04,1.01661,0.6967,1.02,0.89394,0.66118,0.75117,0.47966,1.08328,0.69004,1.00843,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,5024.56,1.00483,0.68765,1.01615,0.82061,0.69951,0.74817,0.47595,1.08236,0.68724,1.00804,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,5170.7,1.00272,0.68305,1.01497,0.79427,0.70823,0.75231,0.48055,1.08108,0.68428,1.00709,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,5315.69,0.99866,0.67829,1.01294,0.83806,0.6808,0.75121,0.48136,1.07787,0.67926,1.00607,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,5475.25,1.00439,0.68469,1.01597,0.83309,0.69515,0.75546,0.4844,1.07606,0.6763,1.00538,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,5634.4,0.99403,0.67713,1.01271,0.85587,0.69851,0.75372,0.48337,1.07342,0.67475,1.00435,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,5793.6,0.99528,0.67795,1.01531,0.92185,0.66842,0.75471,0.48492,1.07209,0.6735,1.00396,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,5952.65,0.99399,0.6702,1.01036,0.92465,0.66769,0.7568,0.48753,1.07144,0.67281,1.00394,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,6111.9,0.98831,0.66614,1.00746,0.88455,0.67589,0.75619,0.4879,1.07101,0.67128,1.00376,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,6270.94,0.98815,0.65969,1.00639,0.89647,0.67389,0.7578,0.48859,1.06956,0.66859,1.00317,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,6430.39,0.98938,0.66399,1.00712,0.892,0.67264,0.75845,0.48928,1.06881,0.66643,1.003,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,6589.94,0.97574,0.65178,1.00423,0.89047,0.66967,0.75803,0.48937,1.06804,0.66464,1.00279,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,6751.08,0.97885,0.65385,1.0055,0.89024,0.66935,0.76148,0.49283,1.06804,0.66399,1.00297,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,6910.45,0.98291,0.64966,1.00505,0.88149,0.67289,0.76108,0.49076,1.06754,0.66221,1.00284,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,7069.48,0.97007,0.64379,1.00135,0.88784,0.67198,0.75878,0.48935,1.067,0.66185,1.00238,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,7228.95,0.96434,0.63936,0.99876,0.88459,0.67311,0.76076,0.49131,1.06589,0.65968,1.00185,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,7388.46,0.97423,0.64468,0.99909,0.88499,0.67294,0.76327,0.49327,1.06477,0.65804,1.00155,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
