epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,4682.31,1.00617,0.68117,1.02026,0.92462,0.64622,0.74386,0.46388,1.11486,0.68524,1.02304,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,4822.16,1.00257,0.67587,1.01932,0.92439,0.65525,0.75199,0.4663,1.11247,0.67998,1.02106,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,4964.04,1.00308,0.67115,1.01968,0.9254,0.65256,0.73587,0.45573,1.11075,0.67504,1.0211,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,5106.26,0.99308,0.66199,1.01234,0.92722,0.65723,0.74051,0.45587,1.10951,0.67263,1.01977,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,5246.15,0.99994,0.66491,1.01272,0.92693,0.65999,0.74442,0.46012,1.10754,0.6712,1.01664,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,5386.63,0.99563,0.66148,1.01293,0.91977,0.66562,0.74162,0.46128,1.10412,0.66594,1.0147,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,5526.78,0.99372,0.66313,1.01426,0.93004,0.66072,0.74334,0.46376,1.10307,0.66392,1.01431,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,5666.51,0.993,0.65645,1.01121,0.92775,0.6581,0.74593,0.46531,1.10258,0.66432,1.01458,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,5806.15,0.98354,0.65015,1.00619,0.92993,0.65935,0.74541,0.46638,1.1014,0.66411,1.01381,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,5945.86,0.98227,0.64993,1.00656,0.93252,0.65771,0.74395,0.4641,1.1006,0.66171,1.01363,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,6086.25,0.97714,0.63776,1.00572,0.81182,0.70273,0.74484,0.46557,1.09992,0.65967,1.01314,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,6226.09,0.97479,0.63857,1.0052,0.81493,0.69439,0.74432,0.46691,1.09838,0.65701,1.01282,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
