epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,201.464,1.41458,2.15559,1.1938,0.46174,0.39229,0.41897,0.24489,1.35068,1.88806,1.14156,0.00999395,0.00333132,0.00999395,0.00333132,0.00999395,0.00333132,0.00999395,0.00333132
2,390.88,1.38768,1.42028,1.15941,0.5476,0.42602,0.44945,0.25707,1.38259,1.58063,1.1586,0.019796,0.00659867,0.019796,0.00659867,0.019796,0.00659867,0.019796,0.00659867
3,577.535,1.43175,1.38267,1.18101,0.53223,0.43496,0.45621,0.25877,1.41468,1.48471,1.19064,0.0294001,0.00980002,0.0294001,0.00980002,0.0294001,0.00980002,0.0294001,0.00980002
4,809.209,1.42783,1.33259,1.1859,0.56738,0.47278,0.50742,0.29131,1.34374,1.39996,1.15488,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,1003.13,1.37681,1.22568,1.15993,0.5767,0.48665,0.534,0.31457,1.29919,1.15636,1.13038,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,1188.78,1.34533,1.14727,1.1395,0.58681,0.52394,0.56277,0.33258,1.28003,1.10135,1.11008,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,1365.87,1.31158,1.08194,1.12347,0.63241,0.53807,0.59465,0.35549,1.24228,0.99849,1.09198,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,1533.66,1.29355,1.05212,1.11601,0.62559,0.56035,0.61243,0.36864,1.21421,0.95753,1.07374,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,1701.23,1.27062,1.01309,1.10378,0.66602,0.55945,0.62367,0.37477,1.2211,0.94393,1.07648,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,1868.91,1.25972,0.98668,1.09912,0.64286,0.59593,0.63264,0.38656,1.19537,0.92038,1.06998,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
