epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,197.775,1.41219,2.1642,1.19608,0.49234,0.4148,0.4317,0.25233,1.33956,1.96207,1.14007,0.00999391,0.0033313,0.00999391,0.0033313,0.00999391,0.0033313,0.00999391,0.0033313
2,385.259,1.3715,1.40621,1.15156,0.48946,0.46024,0.44994,0.25804,1.38731,1.50036,1.16592,0.019796,0.00659866,0.019796,0.00659866,0.019796,0.00659866,0.019796,0.00659866
3,568.129,1.42529,1.37366,1.17852,0.49521,0.42283,0.42698,0.24874,1.42627,1.52785,1.18876,0.0294,0.00980001,0.0294,0.00980001,0.0294,0.00980001,0.0294,0.00980001
4,744.605,1.4201,1.33065,1.18718,0.52503,0.43887,0.47254,0.27215,1.35399,1.32595,1.15656,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,929.274,1.36541,1.20291,1.15729,0.59036,0.48808,0.54058,0.3159,1.31103,1.1627,1.12988,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,1096.94,1.33118,1.13417,1.13812,0.591,0.52567,0.57306,0.34165,1.25849,1.11806,1.10843,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,1263.18,1.30905,1.08266,1.12392,0.64361,0.54201,0.59655,0.35328,1.24776,1.03389,1.09464,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,1429.15,1.28651,1.03861,1.11023,0.6643,0.53712,0.61633,0.36881,1.21959,0.97672,1.08065,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,1596.63,1.26593,1.00907,1.10335,0.65914,0.55972,0.62679,0.37858,1.20942,0.94616,1.07248,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,1763.7,1.25186,0.97638,1.09804,0.67296,0.56097,0.63354,0.38287,1.207,0.93711,1.06818,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,1944.59,1.24062,0.96166,1.09107,0.65658,0.60264,0.65059,0.39293,1.18657,0.88578,1.05878,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,2111.53,1.23534,0.94365,1.0858,0.67631,0.58816,0.65142,0.3983,1.17698,0.89256,1.05475,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,2278.83,1.22288,0.92565,1.07821,0.67171,0.61035,0.66113,0.40433,1.15758,0.84993,1.04442,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,2446.16,1.21615,0.91337,1.07829,0.70306,0.62246,0.67305,0.41032,1.16474,0.83731,1.05015,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,2613.49,1.20939,0.89774,1.07404,0.70426,0.60295,0.67644,0.41505,1.1546,0.83352,1.04302,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,2780.38,1.19818,0.88852,1.06732,0.67811,0.66122,0.68953,0.42554,1.14428,0.81884,1.03889,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,2949.19,1.19681,0.87666,1.0659,0.69931,0.62392,0.68645,0.42164,1.14172,0.79816,1.03467,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,3126.31,1.18754,0.86615,1.06096,0.69421,0.63059,0.68972,0.42654,1.13274,0.78026,1.03327,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,3292.54,1.1808,0.85298,1.05933,0.72441,0.64851,0.69474,0.43159,1.12952,0.76682,1.02998,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,3458.64,1.17835,0.84813,1.05703,0.71146,0.62307,0.70027,0.4361,1.12424,0.77033,1.02651,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
