epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1876.41,1.00344,0.62665,0.98966,0.87665,0.80597,0.89177,0.63706,0.9337,0.58749,0.94227,0.000312497,0.000312497,0.000312497
43,1920.76,0.9798,0.61766,0.99011,0.88411,0.80182,0.8932,0.64077,0.94296,0.57174,0.94504,0.000307289,0.000307289,0.000307289
44,1965.29,0.99154,0.62151,0.98802,0.88201,0.80956,0.894,0.63763,0.9448,0.57001,0.94534,0.000302082,0.000302082,0.000302082
45,2010.18,0.98578,0.61351,0.98383,0.89148,0.80348,0.89488,0.64253,0.93653,0.56231,0.94226,0.000296874,0.000296874,0.000296874
46,2055.04,0.96268,0.59441,0.97965,0.89136,0.79298,0.89409,0.64052,0.93219,0.57006,0.9454,0.000291667,0.000291667,0.000291667
47,2099.42,0.97854,0.60457,0.98403,0.86612,0.81359,0.89409,0.64206,0.94455,0.56637,0.94266,0.00028646,0.00028646,0.00028646
48,2143.9,0.97974,0.61056,0.98002,0.87592,0.81233,0.89528,0.64454,0.92311,0.57127,0.93905,0.000281252,0.000281252,0.000281252
49,2188.24,0.97435,0.61709,0.98485,0.8835,0.80652,0.89714,0.64539,0.93268,0.55405,0.94256,0.000276045,0.000276045,0.000276045
50,2232.65,0.97486,0.60941,0.98347,0.87727,0.814,0.89437,0.64289,0.93048,0.54689,0.94587,0.000270837,0.000270837,0.000270837
51,2276.95,0.97176,0.59895,0.97849,0.88651,0.80967,0.8962,0.64029,0.91931,0.56059,0.94433,0.00026563,0.00026563,0.00026563
52,2321.21,0.96395,0.59771,0.97998,0.88591,0.8048,0.89701,0.64724,0.93173,0.5433,0.94201,0.000260423,0.000260423,0.000260423
53,2366.34,0.96764,0.59689,0.98357,0.89612,0.79851,0.89693,0.64587,0.91921,0.55367,0.94234,0.000255215,0.000255215,0.000255215
54,2411.43,0.95414,0.59236,0.97341,0.88381,0.80873,0.8969,0.6434,0.93731,0.54261,0.94401,0.000250008,0.000250008,0.000250008
55,2455.92,0.96097,0.58909,0.97752,0.88434,0.81233,0.89689,0.64657,0.92422,0.54325,0.94144,0.0002448,0.0002448,0.0002448
56,2500.55,0.96227,0.59184,0.97481,0.88273,0.80873,0.89234,0.64504,0.92343,0.54718,0.94515,0.000239593,0.000239593,0.000239593
57,2544.9,0.96146,0.59254,0.97843,0.89792,0.79104,0.89185,0.64429,0.91283,0.54438,0.94189,0.000234386,0.000234386,0.000234386
